store_nbr,family,onpromotion,transactions,city,state,type,cluster,dcoilwtico,is_holiday,dayofweek,day,month,year,weekofyear,is_weekend,lag_1,lag_7,rolling_mean_7,rolling_std_7,rolling_mean_30,stockout
0,4,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2134.714285714286,571.099149093427,2100.933333333333,
0,4,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2119.5714285714284,537.017646247263,2147.3999999999996,
0,5,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2108.714285714286,536.7378982600068,2117.4666666666662,
0,5,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2085.0,548.7103060814492,2039.8333333333328,
0,5,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2011.0,616.2945724245807,2009.1666666666663,
0,5,,,18,12,3,12,,,5,19,8,2017,33,1,,,2001.2857142857142,624.1545519836424,2009.233333333333,
0,5,,,18,12,3,12,,,6,20,8,2017,33,1,,,2000.7142857142858,624.5133343347452,2003.5666666666662,
0,5,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,1971.7142857142858,604.1759440995376,2035.733333333333,
0,5,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2121.285714285714,964.5768872560494,2125.3999999999996,
0,5,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2185.5714285714284,976.9054640620476,2130.0999999999995,
0,5,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2196.4285714285716,972.0440417221937,2063.566666666666,
0,5,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2233.285714285714,938.1491911001704,2042.0333333333328,
0,5,,,18,12,3,12,,,5,26,8,2017,34,1,,,2200.285714285714,970.03912537686,2030.9999999999995,
0,5,,,18,12,3,12,,,6,27,8,2017,34,1,,,2180.5714285714284,984.0790715423317,2036.0999999999995,
0,5,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2226.714285714286,995.6011106003099,2072.1999999999994,
0,5,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2172.714285714286,874.219406916004,2152.5999999999995,
0,5,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2114.8571428571427,859.2893243006924,2139.6333333333328,
0,5,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2120.1428571428573,857.5364770806005,2078.033333333333,
0,6,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2120.8571428571427,857.0241981358951,2068.8999999999996,
0,6,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2080.4285714285716,906.8231832690884,2049.4666666666662,
0,6,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2082.1428571428573,905.6087139913903,2053.933333333333,
0,6,,,18,12,3,12,,,5,19,8,2017,33,1,,,2046.7142857142858,887.696591237814,2081.1333333333328,
0,6,,,18,12,3,12,,,6,20,8,2017,33,1,,,2038.5714285714287,868.8664755766267,2155.8666666666663,
0,6,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2066.714285714286,875.599169004803,2158.1333333333328,
0,6,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2064.8571428571427,876.0451716990052,2112.4666666666662,
0,6,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2049.285714285714,886.6721893848753,2089.8999999999996,
0,6,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2076.8571428571427,851.9425701637052,2065.766666666666,
0,6,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2173.0,818.1701127108785,2077.7333333333327,
0,6,,,18,12,3,12,,,5,26,8,2017,34,1,,,2176.0,818.8756519358305,2102.3999999999996,
0,6,,,18,12,3,12,,,6,27,8,2017,34,1,,,2194.0,859.7344551274723,2176.1999999999994,
0,6,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2248.714285714286,881.7378133144629,2184.7333333333327,
0,6,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2256.285714285714,878.2546544683025,2144.3666666666663,
0,6,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2287.5714285714284,849.7205142756953,2131.6333333333328,
0,6,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2357.0,763.5330160946986,2129.2333333333327,
0,7,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2264.714285714286,821.1292456703983,2136.933333333333,
0,7,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2277.5714285714284,823.3887006638796,2166.8666666666663,
0,7,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2276.5714285714284,821.1179081274616,2240.566666666666,
0,7,,,18,12,3,12,,,5,19,8,2017,33,1,,,2180.714285714286,800.5874331359668,2233.4999999999995,
0,7,,,18,12,3,12,,,6,20,8,2017,33,1,,,2136.714285714286,824.6374383702829,2147.9666666666662,
0,7,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2066.0,886.6218660360964,2103.7333333333327,
0,7,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2000.2857142857142,933.4739264856661,2083.4666666666662,
0,7,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,1982.5714285714287,944.2474705892946,2078.433333333333,
0,7,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,1985.142857142857,945.7241367635373,2116.666666666666,
0,7,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,1977.857142857143,928.7923034011092,2193.266666666666,
0,7,,,18,12,3,12,,,5,26,8,2017,34,1,,,1976.7142857142858,928.7051405560503,2175.166666666666,
0,7,,,18,12,3,12,,,6,27,8,2017,34,1,,,1976.0,929.0235016761748,2102.066666666666,
0,7,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2042.0,880.7761728536159,2086.7333333333327,
0,7,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2027.0,897.3107971414711,2061.7333333333327,
0,7,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2032.7142857142858,893.0669467786652,2057.8666666666663,
0,7,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2016.7142857142858,885.1458852049382,2101.7999999999997,
0,8,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2010.4285714285713,870.2112496673519,2176.533333333333,
0,8,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,1978.7142857142858,873.2490508222152,2159.2999999999997,
0,8,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,1977.7142857142858,873.7335051920769,2087.8666666666663,
0,8,,,18,12,3,12,,,5,19,8,2017,33,1,,,1921.7142857142858,908.3932177725857,2052.8999999999996,
0,8,,,18,12,3,12,,,6,20,8,2017,33,1,,,1957.5714285714287,876.893542976729,2036.6999999999996,
0,8,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,1977.2857142857142,865.8490465598298,2041.0666666666662,
0,8,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2023.4285714285713,896.8260435452062,2089.333333333333,
0,8,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2125.4285714285716,1137.9591171834556,2165.433333333333,
0,8,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2209.1428571428573,1132.6007576328363,2167.033333333333,
0,8,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2297.1428571428573,1101.9887217467983,2111.933333333333,
0,8,,,18,12,3,12,,,5,26,8,2017,34,1,,,2354.0,1049.8571331376477,2077.4666666666662,
0,8,,,18,12,3,12,,,6,27,8,2017,34,1,,,2369.714285714286,1033.775558214599,2063.166666666666,
0,8,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2379.8571428571427,1025.485970742885,2062.5999999999995,
0,8,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2411.0,1038.9521965262254,2101.933333333333,
0,8,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2318.8571428571427,831.3987067128562,2178.066666666666,
0,8,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2428.0,891.4953729549032,2202.1333333333328,
0,9,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2391.285714285714,906.2741885113501,2138.6999999999994,
0,9,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2360.714285714286,937.3819417728857,2119.4666666666662,
0,9,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2389.8571428571427,909.0134631513868,2122.2333333333327,
0,9,,,18,12,3,12,,,5,19,8,2017,33,1,,,2369.4285714285716,928.7810752347868,2133.3999999999996,
0,9,,,18,12,3,12,,,6,20,8,2017,33,1,,,2342.5714285714284,913.9195546550872,2181.7999999999997,
0,9,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2331.0,891.9303037046487,2259.3666666666663,
0,9,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2200.0,813.4234239722045,2252.266666666666,
0,9,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2205.285714285714,811.8059526524199,2191.766666666666,
0,9,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2262.8571428571427,763.4036565652159,2186.2333333333327,
0,9,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2321.714285714286,728.4892390616154,2202.8999999999996,
0,9,,,18,12,3,12,,,5,26,8,2017,34,1,,,2342.0,704.8829690097501,2203.3999999999996,
0,9,,,18,12,3,12,,,6,27,8,2017,34,1,,,2370.5714285714284,725.5165647414858,2261.9666666666662,
0,9,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2458.1428571428573,930.2647344656673,2358.6333333333328,
0,9,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2764.0,1169.6664766790036,2426.6333333333328,
0,9,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2993.4285714285716,1154.0667018768731,2421.1333333333328,
0,9,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,3017.1428571428573,1128.509109189563,2428.533333333333,
0,10,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,3011.4285714285716,1133.9032670592455,2444.0999999999995,
0,10,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,3078.1428571428573,1053.982199181034,2473.2333333333327,
0,10,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,3115.0,1051.18092321605,2532.033333333333,
0,10,,,18,12,3,12,,,5,19,8,2017,33,1,,,2945.285714285714,897.5867115560009,2584.4999999999995,
0,10,,,18,12,3,12,,,6,20,8,2017,33,1,,,2729.285714285714,637.286360094041,2591.333333333333,
0,10,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2213.0,1098.2734935646333,2441.566666666666,
0,10,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2298.6601428571425,1105.346507143111,2449.4206999999997,
0,10,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2284.9555714285716,1109.1121464522657,2441.2562999999996,
0,10,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2340.669857142857,1111.2893865014685,2470.1229666666663,
0,10,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2411.606714285714,1185.4563616960234,2541.8082333333327,
0,10,,,18,12,3,12,,,5,26,8,2017,34,1,,,2252.606714285714,1136.990710817626,2554.8082333333327,
0,10,,,18,12,3,12,,,6,27,8,2017,34,1,,,2149.606714285714,1103.4805647671833,2530.3415666666665,
0,10,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2411.1781428571426,620.1854652017232,2463.108233333333,
0,10,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2236.3751428571427,712.5966945922553,2404.708233333333,
0,10,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2181.0797142857145,749.5862212896097,2392.208233333333,
0,10,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2201.5082857142856,762.9860128560043,2432.9748999999997,
0,11,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2289.0,965.4860606623654,2518.2748999999994,
0,11,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2262.1428571428573,974.8704920093105,2529.7748999999994,
0,11,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2163.0,1021.9716238722077,2488.4415666666664,
0,11,,,18,12,3,12,,,5,19,8,2017,33,1,,,2122.1428571428573,1042.9582012352203,2414.3749,
0,11,,,18,12,3,12,,,6,20,8,2017,33,1,,,2109.1428571428573,1053.824689495588,2383.508233333333,
0,11,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2115.8571428571427,1050.1537075703757,2371.3415666666665,
0,11,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2124.714285714286,1056.0285214402284,2400.741566666666,
0,11,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2063.8571428571427,914.909181024983,2458.108233333333,
0,11,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2091.8571428571427,911.7310328109229,2471.408233333333,
0,11,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2179.5714285714284,869.2440886852686,2443.8749,
0,11,,,18,12,3,12,,,5,26,8,2017,34,1,,,2160.285714285714,886.9862295597202,2344.8749,
0,11,,,18,12,3,12,,,6,27,8,2017,34,1,,,2182.8571428571427,863.7147346532537,2247.908233333333,
0,11,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2173.285714285714,871.0345791616057,2179.9748999999997,
0,11,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2129.285714285714,844.4192707191739,2193.5748999999996,
0,11,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2140.5714285714284,871.1970418420178,2254.908233333333,
0,11,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2178.4285714285716,874.233541860688,2261.4748999999997,
0,12,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2162.285714285714,877.5417775972655,2221.5748999999996,
0,12,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2154.8571428571427,885.1584469407006,2160.4415666666664,
0,12,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2122.285714285714,917.8501537625306,2106.2748999999994,
0,12,,,18,12,3,12,,,5,19,8,2017,33,1,,,2172.5714285714284,892.2174355956902,2170.5415666666663,
0,12,,,18,12,3,12,,,6,20,8,2017,33,1,,,2389.714285714286,1123.663460039781,2214.8208666666665,
0,12,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2447.5714285714284,1221.6813355839927,2292.851933333333,
0,12,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2463.1428571428573,1220.9546031106747,2290.051933333333,
0,12,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2445.1428571428573,1230.4999564636908,2229.3999999999996,
0,12,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2506.5714285714284,1176.7415260147923,2219.6999999999994,
0,12,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,2572.285714285714,1105.4960748137353,2204.8999999999996,
0,12,,,18,12,3,12,,,5,26,8,2017,34,1,,,2568.285714285714,1108.2630124487189,2207.1999999999994,
0,12,,,18,12,3,12,,,6,27,8,2017,34,1,,,2405.1428571428573,940.2209720009853,2254.1999999999994,
0,12,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2337.5714285714284,783.2221602974167,2329.3666666666663,
0,12,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2269.1428571428573,791.5218313627289,2305.833333333333,
0,12,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2250.1428571428573,805.1864025535585,2220.333333333333,
0,12,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2214.285714285714,834.2608933033094,2208.533333333333,
0,13,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2206.0,840.3812626818045,2214.933333333333,
0,13,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2188.5714285714284,849.0058612170765,2222.6999999999994,
0,13,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2120.714285714286,808.1255501231852,2256.8999999999996,
0,13,,,18,12,3,12,,,5,19,8,2017,33,1,,,2084.4285714285716,718.1823949255145,2322.033333333333,
0,13,,,18,12,3,12,,,6,20,8,2017,33,1,,,2065.1428571428573,723.1865661942321,2291.933333333333,
0,13,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2064.4285714285716,723.6085168889879,2220.4666666666662,
0,13,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2046.0,740.7199200777543,2197.833333333333,
0,13,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,1995.2857142857142,783.2057444217527,2171.933333333333,
0,13,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,1971.4285714285713,793.4046586584589,2178.6333333333328,
0,13,,,18,12,3,12,47.65,,4,25,8,2017,34,0,,,1981.5714285714287,799.4074591309986,2209.933333333333,
0,13,,,18,12,3,12,,,5,26,8,2017,34,1,,,1919.857142857143,658.0966060215895,2262.8999999999996,
0,13,,,18,12,3,12,,,6,27,8,2017,34,1,,,2012.4285714285713,690.8981731878293,2264.666666666666,
0,13,,,18,12,3,12,46.4,,0,28,8,2017,35,0,,,2066.8571428571427,676.6765422690061,2203.266666666666,
0,13,,,18,12,3,12,46.46,,1,29,8,2017,35,0,,,2075.0,667.7102665078584,2173.6999999999994,
0,13,,,18,12,3,12,45.96,,2,30,8,2017,35,0,,,2115.5714285714284,619.3657662326426,2161.033333333333,
0,13,,,18,12,3,12,47.26,,3,31,8,2017,35,0,,,2107.5714285714284,627.2803352948464,2167.5999999999995,
0,14,,,18,12,3,12,46.8,,2,16,8,2017,33,0,,,2182.8571428571427,698.0951292795322,2224.066666666666,
0,14,,,18,12,3,12,47.07,,3,17,8,2017,33,0,,,2239.1428571428573,799.0628737405302,2278.433333333333,
0,14,,,18,12,3,12,48.59,,4,18,8,2017,33,0,,,2102.5714285714284,829.174661363705,2197.666666666666,
0,14,,,18,12,3,12,,,5,19,8,2017,33,1,,,2013.0,865.4688517406779,2101.8666666666663,
0,14,,,18,12,3,12,,,6,20,8,2017,33,1,,,2219.0,884.693732316443,2116.7333333333327,
0,14,,,18,12,3,12,47.39,,0,21,8,2017,34,0,,,2255.5714285714284,858.788265938866,2116.7999999999997,
0,14,,,18,12,3,12,47.65,,1,22,8,2017,34,0,,,2348.8571428571427,803.70505132406,2130.7999999999997,
0,14,,,18,12,3,12,48.45,,2,23,8,2017,34,0,,,2300.4285714285716,771.50563988927,2160.6333333333328,
0,14,,,18,12,3,12,47.24,,3,24,8,2017,34,0,,,2302.8571428571427,776.1405432375907,2216.4999999999995,
